Building Name,Latitude,Longitude,PGA
Pacific Telephone Building,-122.39870505599998,37.784254468,0.0025
Fairmont Hotel Tower [The Fairmont San Franc..],-122.409435577,37.792713174,0.0025
111 Pine Street,-122.39908756300001,37.792005547,0.0025
Twelve Hundred California,-122.414573992,37.79148699200001,0.0025
Macondray House [Golden Gateway Center],-122.39853233100001,37.796230184,0.0025
Buckelew House [Golden Gateway Center],-122.399245484,37.796640415,0.0025
International Building,-122.404849942,37.79217306900001,0.0025
Hilton San Francisco &.. [Hilton San Francisco &..],-122.40978272100001,37.786108751,0.0025
Philip Burton Federal Building,-122.418195627,37.781658682,0.0025
One Bush Plaza,-122.400104064,37.790779503,0.0025
UCSF Medical Center Parnassus,-122.45793445200002,37.76239346,0.0025
Shell Building,-122.39979724799998,37.791771953,0.0025
Sir Francis Drake Hotel,-122.408059106,37.789090253,0.0025
Equitable Life,-122.40209643900002,37.790156025,0.0025
JH Dollar Building,-122.40092330200001,37.792737917,0.0025
Mills Tower [The Mills Building],-122.40126903000001,37.791586539,0.0025
450 Sutter,-122.407671335,37.789924511,0.0025
McAllister Tower Apartments,-122.413892999,37.781374331,0.0025
Bellaire Tower,-122.41727265799999,37.798136582,0.0025
Russ Building,-122.40268274800002,37.791786640000005,0.0025
Hunter-Dulin Building,-122.402236182,37.789666432,0.0025
Cathedral Apartments,-122.414462231,37.790881786,0.0025
The Mark Hopkins Hotel,-122.410486668,37.791164698,0.0025
Pac Bell Building,-122.399770639,37.786505638,0.0025
PG&E Headquarters,-122.39636212500001,37.792291262,0.0025
225 Bush Street,-122.40103557700002,37.790881577,0.0025
Commercial Union Assurance Building,-122.40317134000001,37.79192899,0.0025
Southern Pacific Building,-122.39488528,37.793355747,0.0025
San Francisco City Hall,-122.41953322000002,37.778657198,0.0025
Hobart Building,-122.40166810099998,37.789567894,0.0025
Humboldt Bank Building,-122.40512023100001,37.785933703000005,0.0025
Central Tower,-122.40357645600001,37.787049942,0.0025
Ferry Building,-122.392950833,37.794691694,0.0025
Ritz-Carlton Club and Residences,-122.402966935,37.788313651,0.0025
